"﻿ID","Region ID","Country","lon","lat"
"120","109","Congo (Kinshasa)",,
"121","110","Nepal","83.9158264","28.24891365"
"122","109","Ethiopia","39.60080098","8.62278679"
"123","109","Sierra Leone","-11.79271247","8.56329593"
"124","109","Mauritania","-10.34779815","20.25736706"
"125","109","Kenya","37.79593973","0.59988022"
"126","109","Djibouti","42.5606754","11.74871806"
"127","106","Armenia","44.92993276","40.28952569"
"128","109","Botswana","23.79853368","-22.18403213"
"129","105","Myanmar","96.48843321","21.18566599"
"130","106","Georgia","43.50780252","42.16855755"
"131","109","Malawi","34.28935599","-13.21808088"
"132","110","Sri Lanka","80.70108238","7.61266509"
"133","109","Cameroon","12.73964156","5.69109849"
"134","106","Bulgaria","25.21552909","42.76890318"
"135","102","Egypt","29.86190099","26.49593311"
"136","102","Yemen","47.58676189","15.90928005"
"137","109","Angola","17.53736768","-12.29336054"
"138","109","Mali","-3.54269065","17.34581581"
"139","109","Congo (Brazzaville)",,
"140","109","Comoros","43.68253968","-11.87783444"
"141","109","Uganda","32.36907971","1.27469299"
"142","109","Senegal","-14.4734924","14.36624173"
"143","109","Gabon","11.7886287","-0.58660025"
"144","109","Niger","9.38545882","17.41912493"
"145","105","Cambodia","104.90694325","12.72004786"
"146","109","Tanzania","34.81309981","-6.27565408"
"147","109","Madagascar","46.70473674","-19.37189587"
"148","109","Central African Republic",,
"149","109","Chad","18.64492513","15.33333758"
"150","109","Guinea","-10.94066612","10.43621593"
"151","109","Ivory Coast",,
"152","109","Burkina Faso","-1.75456601","12.26953846"
"153","110","Afghanistan","66.00473366","33.83523073"
"154","109","Rwanda","29.91988515","-1.99033832"
"155","109","Benin","2.32785254","9.6417597"
"156","102","Syria","38.50788204","35.02547389"
"157","109","Burundi","29.87512156","-3.35939666"
"158","109","Togo","0.96232845","8.52531356"
"159","111","Belize","-88.71010486","17.20027509"
"160","109","Somalia","45.70714487","4.75062876"
"161","104","Puerto Rico","-66.47307604","18.22813055"
"162","109","Namibia","17.20963567","-22.13032568"
"163","109","South Sudan",,
